Name,Stage,Attribute,Type,Author,Description,Alternative,Evolve To,Hide,Gallery
Botamon,Baby,Free,Slime,Aderek,A small slime creature ready to evolve.,,Koromon,,
Koromon,In-training,Free,Lesse,Aderek,"This in-training Digimon brings a touch of cuteness and bravery, he needs lots of food and special care to grow strong and healthy.",,"Agumon, Betamon, ModokiBetamon, BlackAgumon, ToyAgumon, YukiAgumon",,
Piyomon,Rookie,Vaccine,Chick,Emiluna,"Piyomon is a Bird Digimon that not only has wings but also a pair of arms with which it manipulates objects. This Digimon lives mainly on the ground, using its wings only to escape from predators. Its dream is to one day become Birdramon, which can fly freely in the sky.",,Birdramon,,
Patamon,Rookie,Data,Mammal,Emiluna,"Patamon is a Mammal Digimon characterized by its large ears. It is able to fly through the air using its ears as wings, but due to its speed of only 1 km/h, it is definitely faster walking.",,"Angemon, Pidmon",,
Psychemon,Rookie,Data,Reptile,Emiluna,"This Digimon is characterized by its disturbing and flashy colors. Psychemon is a variant of Gabumon, modified by a hacker who conducts experiments to unlock the maximum potential of its evolutions.",,Gururumon,,
ModokiBetamon,Rookie,Data,Amphibian,Emiluna,"Did you know that species with completely different origins can evolve into similar forms? ModokiBetamon is a convergent form of Betamon, born spontaneously on the network.",,"Geremon, Tuskmon, ",,
ToyAgumon,Rookie,Data,Puppet,Emiluna,"This Digimon made of plastic blocks has its entire body made of colorful plastic blocks. It is said that a child playing on the Internet created it to look like Agumon, making it very cute.",,,,
Kunemon,Rookie,Virus,Larva,Aderek,"A larvae Digimon, a very unique creature, Kunemon's discovery indicates that Bug Digimon exist throughout the network. It has a body with microbristles that make the enemy feel burns when they touch it, and its tail has a poisonous drill capable of causing severe damage.",,"Kuwagamon, Scorpmon",,
Navimon,Rookie,Data,Navigation,Aderek,"This Digimon has the ability to guide us along the shortest route to our destination. With a personality as direct as the wings arrows, Navimon hates deviations. Always focused on his goal, he is the perfect choice for anyone who needs precise guidance.",,MailBirdramon,,
Gabumon,Rookie,Vaccine,Reptile,Aderek,"Although covered in fur, Gabumon is clearly a Reptile Digimon. Due to his extremely shy and edge personality, he collects data left behind by Garurumon and turns it into a furry Kigurumi to wear.",Psychemon,Garurumon,,
YukiAgumon,Rookie,Data,Dinosaur,Emiluna,"A variant of Agumon adapted to cold climates. It has white down that helps it camouflage itself in the snow and protect itself from low temperatures. This adaptation makes it a perfect inhabitant of cold regions, where he uses his fur to stay warm and camouflage",,"YukiDarumon, IceDevimon",,
Betamon,Rookie,Virus,Amphibian,Aderek,Mysterious waters bring this amphibian Digimon! Watch your electrical skills!,ModokiBetamon,"Airdramon, Seadramon, Numemon",,
Agumon,Rookie,Vaccine,Reptile,Aderek,"Agumon is a small, dinosaur-like Digimon with a bright orange body and prominent green eyes. Its tough, scaled skin and sharp claws give it a fierce appearance despite its relatively small size. Known for its bravery and determination, Agumon possesses a fiery spirit and formidable combat abilities. Agumon's primary attack is Pepper Breath, where it spits small fireballs from its mouth. Agile and curious, it often explores its surroundings and interacts with other Digimon. Its adaptability allows it to thrive in various environments, making it a versatile and resilient Digimon.","ToyAgumon, BlackAgumon [with Black Digitron], YukiAgumon","Greymon, Tyrannomon, Tuskmon, Monochromon",,
Tuskmon,Champion,Virus,Dinosaur,Aderek,"A super-heavy Dinosaur Digimon that has huge horns growing from both of its shoulders. The hind weight is so significant that, although it is primarily bipedal, it moves quadrupedally. 🦖💪👾",,,,
Gururumon,Champion,Vaccine,Beast,Emiluna,"The Beast Digimon that is a remodeled form of Garurumon. It has a silver coat and is more aggressive than its base form. It lives in the shadows, a wicked Digimon that causes trouble wherever it goes.",,Astamon,,
YukiDarumon,Champion,Vaccine,Ice-Snow,Aderek,"A snow and ice Digimon whose body is covered in snow. Contrary to its cold appearance, it has a very warm and gentle personality.",,,,
Devimon,Champion,Virus,Fallen Angel,Aderek,"Originally an angel Digimon of great brilliance, Devimon succumbed to darkness, dedicating his existence to evil. Despite his cunning and violent nature, he has an unbreakable loyalty to his master.",,Demon,,
Numemon,Champion,Virus,Mollusk,Aderek,"A dweller of dark places, Numemon is not known for his strength or intelligence, but rather for his enigmatic persistence. They say there are secrets hidden behind its simplicity. In defense, he launches a peculiar and disgusting attack using... well, his own poop!",Geremon,Monzaemon,,
Pidmon,Champion,Vaccine,Angel,Emiluna,"Pidmon is an Angel Digimon that lives in legions led by Angemon and is part of the defense systems of many servers. Even though it is of a lower rank, they have the same offensive power as Angemon.",,HolyAngemon,,
Tailmon,Champion,Vaccine,Holy Beast,Aderek,"Tailmon is a curious and mischievous Digimon. Although it has a small body, it is a precious Digimon that serves as a source for Sacred-type Digimon. The code of this Digimon was found in a lost Saturn disc, adding an intriguing mystery to its origin.",BlackTailmon [With Black Digitron],Angewomon,,
Monochromon,Champion,Data,Protoceratops,Aderek,"Monochromon is a Digimon with a horn similar to a rhinoceros growing from its snout. As its huge horn grows, it becomes large enough to account for half the length of its body. The hard substance that covers part of its horn and half of its body is as tough as diamond.",,Triceramon,,
Geremon,Champion,Virus,Mollusk,Aderek,"A close species to Numemon, but which evolved in a more favorable environment, with less competition for resources, making it less offensive and more peaceful. They live in complex societies and are able to organize collectively to optimize their tasks.",,"ChoHakkaimon, WaruMonzaemon",,
Birdramon,Champion,Data,Giant Bird,Aderek,"A Giant Bird Digimon that has an appearance surrounded by blazing flames. Like Meramon, it is a Digimon generated from the Internet's defensive ""Firewall"". It flaps its giant wings and flies through the sky.",MailBirdramon,Garudamon,,
Kuwagamon,Champion,Virus,Insect,Aderek,Kuwagamon is a predator Digimon with huge scissor-shaped pincers on its head. This insectoid Digimon is known for its fierce nature and its ability to cut through almost anything with its powerful pincers.,,,,
Airdramon,Champion,Vaccine,Mythical Beast,Aderek,"Worshiped as a deity by people of the past, is highly valued for its supreme aerial abilities. Its roar summons storms and its flapping wings generate gigantic tornadoes. However, it is a challenge for any Tamer to control it.",,"Weatherdramon, Megadramon",,
Tuchidarumon,Champion,Data,Mutation,Emiluna,"It is said to be a mutant born from a mutation of Yukidarumon. It is a being with a kind personality created by children who enjoyed making mud pies. Due to its sticky nature, objects tend to get stuck to it.",YukiDarumon,ChoHakkaimon,,
BlackTailmon,Champion,Virus,Demon Beast,Emiluna,"A stylish and sophisticated variant of Tailmon, which thrives on the admiration and attention it receives from its followers. Its elegant black skin and golden details underline its chic behavior, making it a highlight on the network.",,LadyDevimon,,
Meramon,Champion,Data,Flame,Aderek,"This flaming Digimon has its body entirely surrounded by a burning flame. His personality is as incendiary as the fire that consumes him, capable of burning everything around him. Tatakae!!!",,Mamemon,,
Angemon,Champion,Vaccine,Angel,Aderek,"This Angel Digimon has six shining wings and a body wrapped in a fabric of divine purity, a being of perfect virtue, known for bringing good news and fear at the same time. Interestingly, Devimon, who was drawn to the Dark Side, was originally the same species.",,HolyAngemon,,
Garurumon,Champion,Vaccine,Beast,Aderek,"A Beast Digimon with an appearance similar to a wolf. His fur is as hard as ""Mithril"", a rare and legendary metal, and the blades at the ends of his shoulders cut through anything they touch.",Gururumon,"WereGarurumon, GaruruGreymon [Jogressed with Greymon]",,
Greymon,Champion,Vaccine,Dinosaur,Aderek,"This Dinosaur Digimon has evolved so that its skin has transformed into Hard Armor. Using its body as a lethal weapon, its sharp claws can tear through any obstacle.",,"MetalGreymon, GaruruGreymon [Jogressed with Garurumon], SkullGreymon[Living for more than 1000 years]",,
Seadramon,Champion,Data,Sea Serpent,Aderek,"Has a long, serpentine body. Using its length, it wraps itself around approaching enemies, suffocating them until they can no longer breathe. Seadramon navigates the Net Ocean following its primal instincts.",,,,
